,Gene1,Gene2,Count
143,NRAS,RUNX1,2
117,SRSF2,IDH2,2
156,IDH1,PTPN11,2
84,TP53,IDH2,2
76,DNMT3A,IDH1,2
61,WT1,SRSF2,2
59,TP53,DNMT3A,2
12,RUNX1,JAK2,2
71,TET2,KIT,2
57,RUNX1,NRAS,2
47,FLT3,DNMT3A,2
207,TET2,IDH1,2
48,WT1,GATA2,2
60,NPM1,SRSF2,2
53,U2AF1,DNMT3A,2
52,TET2,U2AF1,2
164,FLT3,KRAS,1
175,PHF6,RUNX1,1
158,NPM1,KIT,1
159,PTPN11,NRAS,1
182,TET2,CBL,1
218,PTPN11,RUNX1,1
181,GATA2,NRAS,1
180,SF3B1,TET2,1
179,FLT3,TET2,1
178,FLT3,MYC,1
177,GATA2,MYC,1
176,TET2,PPM1D,1
220,IDH2,CSF3R,1
174,PHF6,IDH2,1
166,KRAS,NRAS,1
173,FLT3,IDH2,1
19,SF3B1,SRSF2,1
171,TP53,PPM1D,1
170,DNMT3A,PPM1D,1
183,TET2,PHF6,1
219,DNMT3A,CSF3R,1
162,U2AF1,KRAS,1
168,U2AF1,IDH2,1
163,U2AF1,TP53,1
167,KRAS,SRSF2,1
169,U2AF1,ASXL1,1
184,TET2,SF3B1,1
200,RUNX1,KIT,1
217,PTPN11,KIT,1
201,JAK2,IDH1,1
202,RUNX1,TET2,1
203,IDH1,BCOR,1
204,IDH1,STAG2,1
205,IDH1,SRSF2,1
198,RUNX1,PTPN11,1
197,KIT,SRSF2,1
206,STAG2,SRSF2,1
195,ASXL1,KIT,1
194,SF3B1,TP53,1
193,SF3B1,NRAS,1
192,SF3B1,PHF6,1
191,SF3B1,CBL,1
208,TET2,BCOR,1
157,IDH2,KIT,1
190,TP53,CBL,1
189,NPM1,TP53,1
209,TET2,STAG2,1
210,TET2,SETBP1,1
188,NPM1,PHF6,1
211,FLT3,SETBP1,1
187,NPM1,CBL,1
186,NRAS,PHF6,1
212,BCOR,PTPN11,1
185,NRAS,CBL,1
213,BCOR,WT1,1
214,BCOR,KIT,1
215,BCOR,RUNX1,1
216,PTPN11,WT1,1
49,WT1,DNMT3A,1
135,SRSF2,KRAS,1
155,PTPN11,IDH1,1
154,IDH1,RUNX1,1
6,SF3B1,JAK2,1
38,DNMT3A,SMC3,1
97,IDH2,WT1,1
9,DNMT3A,JAK2,1
95,U2AF1,RUNX1,1
93,DNMT3A,TET2,1
92,KRAS,NPM1,1
16,SRSF2,WT1,1
86,SF3B1,IDH1,1
82,DNMT3A,EZH2,1
81,EZH2,NRAS,1
80,SETBP1,NRAS,1
79,SETBP1,EZH2,1
78,ETV6,NRAS,1
77,ETV6,EZH2,1
75,STAG2,DNMT3A,1
74,STAG2,IDH1,1
73,DNMT3A,KIT,1
72,KIT,NPM1,1
13,FLT3,PTPN11,1
68,ASXL1,WT1,1
67,SETBP1,RUNX1,1
66,SETBP1,ASXL1,1
65,SETBP1,WT1,1
64,GATA2,FLT3,1
63,GATA2,SRSF2,1
58,RUNX1,U2AF1,1
46,FLT3,GATA2,1
51,DNMT3A,GATA2,1
101,NRAS,DNMT3A,1
104,DNMT3A,WT1,1
105,U2AF1,WT1,1
136,TP53,PTPN11,1
152,SRSF2,DNMT3A,1
151,SRSF2,IDH1,1
150,ASXL1,DNMT3A,1
149,IDH1,ASXL1,1
148,FLT3,ASXL1,1
147,FLT3,SRSF2,1
146,ASXL1,KRAS,1
18,SF3B1,WT1,1
144,NRAS,ASXL1,1
140,IDH2,PTPN11,1
139,TP53,SRSF2,1
138,TP53,NRAS,1
137,TP53,WT1,1
50,NPM1,GATA2,1
109,EZH2,FLT3,1
27,SMC3,NRAS,1
133,WT1,IDH2,1
132,WT1,KRAS,1
131,WT1,PTPN11,1
130,SF3B1,GATA2,1
129,GATA2,PTPN11,1
3,FLT3,JAK2,1
126,IDH1,KRAS,1
124,KRAS,SF3B1,1
121,NRAS,IDH2,1
115,FLT3,TP53,1
113,DNMT3A,TP53,1
32,TET2,SMC3,1
221,RUNX1,CSF3R,1
